,index,Port
1457,1457,KRL
1458,1458,KRN
1459,1459,KRO
1460,1460,KRP
1461,1461,KRR
1462,1462,KRS
1463,1463,KRT
1464,1464,KRY
1465,1465,KSA
1466,1466,KSC
1467,1467,KSD
1468,1468,KSF
1469,1469,KSH
1470,1470,KSJ
1471,1471,KSM
1472,1472,KSN
1473,1473,KSQ
1474,1474,KSU
1475,1475,KSY
1476,1476,KTA
1477,1477,KTB
1478,1478,KTE
1479,1479,KTL
1480,1480,KTM
1481,1481,KTN
1482,1482,KTS
1483,1483,KTT
1484,1484,KTW
1485,1485,KUA
1486,1486,KUD
1487,1487,KUF
1488,1488,KUH
1489,1489,KUK
1490,1490,KUL
1491,1491,KUN
1492,1492,KUO
1493,1493,KUS
1494,1494,KUT
1495,1495,KUU
1496,1496,KUV
1497,1497,KUZ
1498,1498,KVA
1499,1499,KVC
1500,1500,KVD
1501,1501,KVG
1502,1502,KVK
1503,1503,KVL
1504,1504,KVX
1505,1505,KWA
1506,1506,KWE
1507,1507,KWF
1508,1508,KWI
1509,1509,KWJ
1510,1510,KWK
1511,1511,KWL
1512,1512,KWM
1513,1513,KWN
1514,1514,KWT
1515,1515,KXU
1516,1516,KYA
1517,1517,KYK
1518,1518,KYP
1519,1519,KYU
1520,1520,KZB
1521,1521,KZN
1522,1522,KZO
1523,1523,KZR
1524,1524,KZS
1525,1525,LAD
1526,1526,LAE
1527,1527,LAI
1528,1528,LAM
1529,1529,LAN
1530,1530,LAO
1531,1531,LAP
1532,1532,LAQ
1533,1533,LAR
1534,1534,LAS
1535,1535,LAU
1536,1536,LAW
1537,1537,LAX
1538,1538,LBA
1539,1539,LBB
1540,1540,LBC
1541,1541,LBD
1542,1542,LBE
1543,1543,LBF
1544,1544,LBJ
1545,1545,LBL
1546,1546,LBP
1547,1547,LBS
1548,1548,LBU
1549,1549,LBV
1550,1550,LCA
1551,1551,LCE
1552,1552,LCG
1553,1553,LCH
1554,1554,LCK
1555,1555,LCR
1556,1556,LCX
1557,1557,LCY
1558,1558,LDB
1559,1559,LDE
1560,1560,LDH
1561,1561,LDS
1562,1562,LDU
1563,1563,LDY
1564,1564,LEA
1565,1565,LEB
1566,1566,LEC
1567,1567,LED
1568,1568,LEH
1569,1569,LEI
1570,1570,LEJ
1571,1571,LEN
1572,1572,LET
1573,1573,LEX
1574,1574,LFM
1575,1575,LFR
1576,1576,LFT
1577,1577,LFW
1578,1578,LGA
1579,1579,LGB
1580,1580,LGG
1581,1581,LGI
1582,1582,LGK
1583,1583,LGL
1584,1584,LGP
1585,1585,LGQ
1586,1586,LGW
1587,1587,LHE
1588,1588,LHR
1589,1589,LHW
1590,1590,LIF
